DetectionResult: [xmin, ymin, xmax, ymax, score, label_id]
197.612823,81.767990, 253.248459, 157.531555, 0.109015, 0
4.529094,134.431992, 38.827019, 154.200729, 0.107689, 0
349.857635,55.546967, 383.336670, 112.159126, 0.104309, 0
363.140900,57.402725, 392.017212, 115.854660, 0.102296, 0
169.244629,46.821758, 181.593872, 61.542267, 0.101802, 0
-0.123879,126.489868, 8.003315, 155.277893, 0.100888, 0
99.500366,151.315063, 118.586334, 169.171982, 0.098650, 0
25.359241,117.516815, 49.017456, 137.964142, 0.091631, 0
204.189819,83.058601, 253.259766, 120.189583, 0.091114, 0
168.954849,47.005890, 178.748001, 73.514771, 0.090874, 0
273.036377,88.344223, 296.832825, 109.832588, 0.089176, 0
401.073822,23.157909, 412.321106, 33.821484, 0.087855, 0
7.888868,117.321716, 57.855812, 155.161423, 0.085579, 0
505.080261,113.924629, 555.482300, 235.095200, 0.085048, 0
239.623016,95.906639, 263.908844, 134.457275, 0.084974, 0
57.121651,153.025406, 86.145401, 173.297195, 0.083475, 0
272.851654,88.577110, 296.751556, 129.971802, 0.082225, 0
415.375031,89.756142, 506.983551, 194.945755, 0.081631, 0
267.906525,90.825623, 296.799438, 140.140778, 0.080752, 0
423.900696,81.248146, 603.303650, 276.643005, 0.080320, 0
588.561218,173.525055, 604.808105, 197.986908, 0.079380, 0
584.029358,113.267418, 612.484375, 177.510147, 0.079172, 0
164.075989,124.594856, 191.231796, 165.718567, 0.079085, 0
105.030426,45.595940, 127.683739, 74.202660, 0.078939, 0
169.086517,47.238453, 178.618790, 65.724998, 0.078441, 0
535.141113,16.430754, 568.654297, 34.355892, 0.075992, 0
64.829849,135.431717, 97.764000, 157.451172, 0.074455, 0
410.953674,10.481750, 419.670654, 28.811300, 0.073668, 0
548.313354,112.736053, 614.076721, 218.471390, 0.073307, 0
75.315590,122.070908, 101.894264, 155.044815, 0.072370, 0
416.498138,102.909767, 485.008698, 284.864502, 0.072305, 0
481.393005,22.826315, 489.516693, 32.844193, 0.072059, 0
367.998169,68.893257, 381.359955, 114.696938, 0.071670, 0
579.163879,112.252686, 625.495911, 213.790146, 0.071214, 0
-0.142326,122.491608, 25.422096, 170.061859, 0.070851, 0
556.906555,27.980900, 568.575684, 33.814198, 0.068713, 0
555.665100,112.735825, 612.107605, 247.351288, 0.068636, 0
195.664658,96.389679, 221.676559, 156.468033, 0.068245, 0
194.241364,82.363770, 240.913483, 154.213150, 0.068114, 0
164.003952,82.161919, 197.339020, 126.358955, 0.068022, 0
332.473358,41.394314, 352.501465, 82.907188, 0.067938, 0
59.181561,135.387543, 86.117722, 171.286514, 0.067827, 0
411.581665,10.556547, 420.665436, 25.599260, 0.067401, 0
255.853821,80.893814, 298.961426, 163.166260, 0.066646, 0
263.837860,142.136856, 274.082214, 162.618164, 0.066605, 0
154.253586,116.091476, 197.474640, 165.057037, 0.063879, 0
85.305138,156.263168, 103.577911, 172.710541, 0.063373, 0
575.538757,173.595886, 604.494263, 197.820419, 0.062801, 0
161.674103,83.495789, 210.156128, 165.021637, 0.062588, 0
462.355286,161.008728, 469.164215, 173.692307, 0.062399, 0
464.684174,14.842951, 477.802368, 33.948872, 0.059876, 0
374.208099,24.425077, 384.704315, 33.537033, 0.059699, 0
148.785431,81.637085, 198.395386, 166.122452, 0.059462, 0
163.433304,81.586693, 235.918793, 166.390182, 0.059399, 0
235.752136,88.682022, 253.468460, 119.180191, 0.059372, 0
215.693680,81.814377, 232.102890, 111.995674, 0.057881, 0
379.480591,40.563404, 396.853424, 74.288780, 0.057544, 0
525.595093,21.393497, 534.874695, 33.762619, 0.086299, 1
536.432922,23.241096, 546.611694, 33.951008, 0.077895, 1
583.039124,26.307030, 603.029236, 33.984055, 0.062893, 1
543.488647,16.199526, 568.939026, 29.978544, 0.268821, 2
539.555298,16.178846, 568.895386, 34.206142, 0.204445, 2
621.525024,5.093638, 638.363464, 11.090215, 0.158738, 2
570.502563,26.965202, 602.305115, 34.156563, 0.154520, 2
556.906555,27.980900, 568.575684, 33.814198, 0.149630, 2
583.706360,26.870195, 603.403381, 34.109692, 0.141705, 2
603.887939,5.724187, 623.544617, 11.435085, 0.141205, 2
536.052307,22.960217, 544.882996, 33.861820, 0.126709, 2
531.551208,18.568424, 569.040527, 33.829208, 0.115976, 2
585.242004,27.155886, 598.405640, 33.961170, 0.115183, 2
410.347382,22.929636, 418.011322, 33.906456, 0.100351, 2
525.208862,19.898369, 534.686035, 33.504726, 0.092867, 2
398.676208,24.442698, 405.742157, 33.880051, 0.086263, 2
485.992920,25.199966, 497.218353, 32.693714, 0.085620, 2
0.284497,15.109296, 14.804912, 24.112164, 0.084825, 2
0.156564,14.728019, 18.137201, 25.948130, 0.082354, 2
599.252991,5.439635, 628.620972, 11.748711, 0.080297, 2
541.265747,18.503777, 603.167908, 34.099026, 0.079179, 2
580.884399,4.908935, 629.961243, 12.080032, 0.072784, 2
478.313354,14.035975, 564.813110, 33.063942, 0.071089, 2
572.350830,24.321306, 603.554871, 34.558811, 0.070054, 2
490.168884,8.107922, 574.796692, 32.964787, 0.067838, 2
543.402466,10.552518, 569.292480, 30.699396, 0.065968, 2
390.089325,25.004705, 405.440857, 33.685928, 0.063258, 2
552.764099,23.427580, 603.165833, 34.204987, 0.062778, 2
0.266949,36.282154, 5.678283, 43.794430, 0.060479, 2
489.083160,23.682011, 528.833557, 32.722530, 0.060275, 2
401.073822,23.157909, 412.321106, 33.821484, 0.059480, 2
378.704163,22.071690, 420.275055, 33.869499, 0.059280, 2
536.432922,23.241096, 546.611694, 33.951008, 0.078087, 3
525.595093,21.393497, 534.874695, 33.762619, 0.075405, 3
539.555298,16.178846, 568.895386, 34.206142, 0.074307, 3
583.706360,26.870195, 603.403381, 34.109692, 0.071936, 3
585.242004,27.155886, 598.405640, 33.961170, 0.064838, 3
542.867615,16.212124, 569.083435, 33.811043, 0.102755, 5
542.867615,16.212124, 569.083435, 33.811043, 0.290642, 7
531.551208,18.568424, 569.040527, 33.829208, 0.084177, 7
542.448547,15.827122, 598.163269, 34.231243, 0.074898, 7
507.181610,9.615115, 570.336792, 33.466343, 0.069724, 7
474.815430,6.031203, 572.281433, 33.079121, 0.064548, 7
570.129700,27.087893, 600.379517, 33.981056, 0.061244, 7
556.906555,27.980900, 568.575684, 33.814198, 0.061079, 7
75.127083,121.367348, 116.815956, 156.646820, 0.089521, 13
55.306992,22.233932, 68.447639, 37.274078, 0.084656, 13
97.030815,130.861298, 117.763634, 156.944061, 0.064668, 13
303.380951,165.107300, 312.639404, 172.171738, 0.060625, 14
154.452682,122.374619, 174.471161, 163.788300, 0.097308, 16
57.237919,152.625977, 102.299477, 173.520416, 0.057905, 16
3.301836,150.404572, 38.638153, 172.520309, 0.421169, 24
57.155304,152.998856, 87.911766, 173.325577, 0.396556, 24
64.918343,135.131561, 85.534706, 153.852386, 0.354176, 24
57.374817,152.625351, 101.607574, 173.338608, 0.332178, 24
100.388100,152.917572, 119.090546, 168.507996, 0.330502, 24
3.995235,135.072540, 38.838032, 154.157822, 0.256725, 24
85.443665,156.393372, 103.162224, 172.975906, 0.247098, 24
1.619211,133.441940, 39.627396, 172.097900, 0.154610, 24
59.181561,135.387543, 86.117722, 171.286514, 0.140123, 24
64.829849,135.431717, 97.764000, 157.451172, 0.128309, 24
65.747261,125.934204, 100.701714, 156.158157, 0.096569, 24
153.707962,123.619728, 175.619904, 163.898514, 0.094515, 24
80.651726,149.822052, 97.915131, 158.178604, 0.082012, 24
195.542526,124.280418, 212.774948, 155.084442, 0.079977, 24
75.315590,122.070908, 101.894264, 155.044815, 0.079134, 24
0.158534,127.182144, 9.511185, 171.861313, 0.074619, 24
1.265255,127.315666, 39.719749, 153.940842, 0.072616, 24
96.033958,132.046097, 118.248108, 158.228882, 0.072069, 24
575.538757,173.595886, 604.494263, 197.820419, 0.067283, 24
279.247772,80.355392, 297.307068, 109.483337, 0.066645, 24
13.375332,118.706429, 60.971718, 153.650726, 0.064592, 24
25.334667,118.146965, 59.777092, 150.880295, 0.064580, 24
0.787811,122.443062, 57.555496, 154.124420, 0.059902, 24
25.344076,118.128525, 55.271843, 137.694748, 0.059083, 24
56.031857,137.559875, 67.423141, 152.741486, 0.058616, 24
75.036674,121.651978, 99.511330, 137.900650, 0.058525, 24
272.851654,88.577110, 296.751556, 129.971802, 0.057475, 24
428.252991,171.730103, 621.920044, 194.071884, 0.071502, 25
467.515015,175.836121, 625.773987, 193.644547, 0.069490, 25
543.488647,16.199526, 568.939026, 29.978544, 0.066989, 25
57.331612,152.283829, 102.847260, 173.320221, 0.062791, 25
567.977417,176.037918, 621.534851, 194.014801, 0.061107, 25
3.205727,150.328598, 38.654808, 172.416977, 0.393982, 26
100.364876,152.925095, 118.951225, 168.467484, 0.285893, 26
3.701952,134.955750, 39.064964, 153.992401, 0.248534, 26
57.360718,153.087280, 86.993156, 173.260880, 0.211576, 26
85.617569,156.439377, 103.390862, 172.765411, 0.207740, 26
64.918343,135.131561, 85.534706, 153.852386, 0.191557, 26
57.581558,152.273407, 103.550629, 173.414093, 0.163706, 26
153.707962,123.619728, 175.619904, 163.898514, 0.162182, 26
1.619211,133.441940, 39.627396, 172.097900, 0.138711, 26
74.898216,121.735313, 100.660507, 153.194824, 0.089653, 26
80.651726,149.822052, 97.915131, 158.178604, 0.086883, 26
64.829849,135.431717, 97.764000, 157.451172, 0.081303, 26
195.542526,124.280418, 212.774948, 155.084442, 0.079923, 26
96.033958,132.046097, 118.248108, 158.228882, 0.079083, 26
263.837860,142.136856, 274.082214, 162.618164, 0.078499, 26
65.747261,125.934204, 100.701714, 156.158157, 0.077292, 26
575.538757,173.595886, 604.494263, 197.820419, 0.073243, 26
59.181561,135.387543, 86.117722, 171.286514, 0.071750, 26
0.158534,127.182144, 9.511185, 171.861313, 0.069622, 26
1.265255,127.315666, 39.719749, 153.940842, 0.064459, 26
588.561218,173.525055, 604.808105, 197.986908, 0.063830, 26
56.031857,137.559875, 67.423141, 152.741486, 0.060750, 26
75.036674,121.651978, 99.511330, 137.900650, 0.060713, 26
2.867422,150.334976, 38.627563, 172.472610, 0.335708, 28
3.995235,135.072540, 38.838032, 154.157822, 0.210451, 28
100.611656,152.998962, 119.149826, 168.565659, 0.139430, 28
57.360718,153.087280, 86.993156, 173.260880, 0.129974, 28
57.374817,152.625351, 101.607574, 173.338608, 0.128538, 28
64.930603,135.478027, 85.653709, 154.052979, 0.111001, 28
1.619211,133.441940, 39.627396, 172.097900, 0.106030, 28
85.617569,156.439377, 103.390862, 172.765411, 0.097675, 28
75.015076,121.790512, 102.125977, 154.909042, 0.061955, 28
508.310883,273.761353, 520.327698, 282.660461, 0.070225, 29
303.380951,165.107300, 312.639404, 172.171738, 0.059668, 29
428.252991,171.730103, 621.920044, 194.071884, 0.057476, 30
508.310883,273.761353, 520.327698, 282.660461, 0.112652, 32
303.380951,165.107300, 312.639404, 172.171738, 0.091248, 32
57.316429,153.082306, 87.270287, 173.302841, 0.058767, 32
325.309875,168.309204, 332.558533, 172.663208, 0.057986, 32
239.773300,96.850227, 253.081482, 118.155319, 0.057254, 32
162.664291,83.086693, 626.038818, 344.374542, 0.963882, 33
428.252991,171.730103, 621.920044, 194.071884, 0.204076, 33
280.528656,166.356277, 620.872925, 196.156754, 0.198849, 33
467.515015,175.836121, 625.773987, 193.644547, 0.177135, 33
578.539246,174.225922, 620.562866, 196.188950, 0.147380, 33
413.212799,89.364159, 504.734314, 285.704071, 0.130584, 33
198.615585,82.130310, 253.293182, 154.354797, 0.125220, 33
505.161621,144.559540, 619.999390, 271.352234, 0.123430, 33
496.883057,150.494965, 620.625732, 243.828995, 0.117507, 33
303.380951,165.107300, 312.639404, 172.171738, 0.112241, 33
325.309875,168.309204, 332.558533, 172.663208, 0.108286, 33
556.109192,174.624420, 621.220215, 194.713577, 0.105249, 33
568.261169,174.317154, 620.956604, 190.269592, 0.095325, 33
162.916168,89.911591, 313.250488, 339.220947, 0.089170, 33
309.510284,165.919647, 332.692047, 172.873154, 0.086525, 33
397.856171,167.229782, 621.854675, 196.084702, 0.086427, 33
462.355286,161.008728, 469.164215, 173.692307, 0.085822, 33
214.463562,83.743332, 253.501129, 119.473274, 0.084435, 33
206.939346,81.505440, 253.029739, 128.261536, 0.082962, 33
508.239044,273.494324, 520.796143, 283.780640, 0.082318, 33
239.505493,96.626068, 253.239899, 117.779732, 0.081383, 33
196.412643,82.591995, 266.734131, 167.243332, 0.079601, 33
196.315948,157.239319, 617.111145, 281.392609, 0.078449, 33
162.375549,87.990746, 376.215179, 344.178650, 0.076606, 33
603.337280,174.271530, 620.865479, 182.576843, 0.074116, 33
358.239655,166.868988, 538.339844, 193.402481, 0.074001, 33
597.479797,174.280167, 620.765625, 193.844254, 0.072241, 33
302.427917,163.753357, 332.799103, 172.882019, 0.071189, 33
214.774887,82.157768, 238.859573, 118.746765, 0.069561, 33
162.389709,83.244324, 479.799194, 344.294098, 0.065451, 33
423.900696,81.248146, 603.303650, 276.643005, 0.064588, 33
341.183838,31.563236, 620.824524, 277.170593, 0.063410, 33
195.089767,91.052872, 273.188843, 190.494614, 0.062312, 33
215.725235,82.239059, 231.907242, 113.280807, 0.061970, 33
176.268921,83.753006, 289.961639, 191.691025, 0.061596, 33
191.851624,101.309708, 294.572296, 189.148834, 0.060154, 33
161.675186,84.087822, 479.538269, 263.027252, 0.059486, 33
583.706360,26.870195, 603.403381, 34.109692, 0.059318, 33
328.288025,156.738449, 522.848145, 248.959366, 0.058575, 33
162.726135,87.229355, 312.128113, 267.516602, 0.058099, 33
428.252991,171.730103, 621.920044, 194.071884, 0.065308, 36
428.252991,171.730103, 621.920044, 194.071884, 0.070712, 37
508.310883,273.761353, 520.327698, 282.660461, 0.198734, 41
508.310883,273.761353, 520.327698, 282.660461, 0.073960, 45
75.276627,121.602272, 116.642807, 156.691757, 0.676527, 56
97.030815,130.861298, 117.763634, 156.944061, 0.467061, 56
75.073425,121.655533, 102.758255, 155.134354, 0.464833, 56
153.301376,123.233749, 177.130554, 164.558350, 0.159045, 56
75.036674,121.651978, 99.511330, 137.900650, 0.155318, 56
3.889793,134.786530, 41.274555, 154.364166, 0.150049, 56
65.747261,125.934204, 100.701714, 156.158157, 0.145881, 56
65.156609,135.398453, 85.764168, 154.011963, 0.140123, 56
99.592896,151.089401, 118.305130, 168.433640, 0.120736, 56
26.025137,117.556778, 60.544205, 153.051819, 0.103488, 56
3.014326,150.193649, 38.833817, 172.213287, 0.091920, 56
0.787811,122.443062, 57.555496, 154.124420, 0.088162, 56
195.828140,124.680168, 212.924805, 157.302734, 0.087467, 56
152.920807,122.936012, 191.679840, 165.822113, 0.087130, 56
1.265255,127.315666, 39.719749, 153.940842, 0.085157, 56
158.616806,83.914391, 198.076172, 165.941330, 0.085089, 56
578.539246,174.225922, 620.562866, 196.188950, 0.077166, 56
13.375332,118.706429, 60.971718, 153.650726, 0.071038, 56
164.075989,124.594856, 191.231796, 165.718567, 0.069889, 56
239.505493,96.626068, 253.239899, 117.779732, 0.068464, 56
263.771210,142.075806, 274.409607, 162.354294, 0.065665, 56
1.619211,133.441940, 39.627396, 172.097900, 0.064432, 56
11.675293,114.309586, 134.059433, 163.927505, 0.061960, 56
217.505814,83.515083, 252.958038, 118.431808, 0.059321, 56
56.737232,151.351013, 105.210930, 173.881165, 0.059011, 56
57.121651,153.025406, 86.145401, 173.297195, 0.058314, 56
80.651726,149.822052, 97.915131, 158.178604, 0.057521, 56
-0.147092,126.652336, 8.333593, 170.780518, 0.057480, 56
55.306992,22.233932, 68.447639, 37.274078, 0.069461, 58
153.301376,123.233749, 177.130554, 164.558350, 0.066697, 60
505.887573,140.919586, 523.167236, 151.875336, 0.084912, 67

Visualized result save in ./visualized_result.jpg
